Date,Close,High,Low,Open,Volume
,VEDL.NS,VEDL.NS,VEDL.NS,VEDL.NS,VEDL.NS
2023-08-08,209.10574340820312,212.3723400664489,206.62312463121,207.32000124333226,24176083
2023-08-09,212.59011840820312,212.98210735847513,209.2799643880313,211.5883540999345,10427414
2023-08-10,212.4158935546875,213.33052996921478,210.6301514216973,213.33052996921478,8194222
2023-08-11,207.4942169189453,212.4594411774195,207.14578525905148,212.41589718879464,12825769
2023-08-14,203.83563232421875,208.10397999205938,202.57255093612844,207.49421793834156,8996918
2023-08-16,206.0133514404297,206.3617830817424,202.13699294061126,203.8356204526873,7462518
2023-08-17,203.83563232421875,206.7537973344756,203.40008610130377,206.36179510039938,6139153
2023-08-18,203.26942443847656,205.57781406785116,202.65964910228038,203.83562920286937,5574667
2023-08-21,204.14051818847656,204.66316567625483,203.53074284834494,203.79207323814197,3857957
2023-08-22,204.7067413330078,206.3618117972713,204.14053651413266,204.14053651413266,4862624
2023-08-23,207.32000732421875,208.1910997919676,205.1422761548467,205.57782238872113,5524962
2023-08-24,206.92800903320312,209.75905942561832,206.6231213665245,207.88620272939275,5052952
2023-08-25,203.2258758544922,208.01688443819862,202.09345298543468,208.01688443819862,6099075
2023-08-28,207.4942169189453,209.23640180204615,205.62137348633826,206.6666817578356,8338095
2023-08-29,206.4488983154297,208.88795968806784,205.83913629522394,208.19108311134048,4115948
2023-08-30,206.0133514404297,208.36529824882842,205.79557834165544,207.97330932939784,3960361
2023-08-31,202.3547821044922,206.75380170733646,201.74502003787782,206.49247130969715,11631767
2023-09-01,205.70846557617188,206.27468361300305,202.35476780094274,202.35476780094274,6220159
2023-09-04,210.54302978515625,212.9820911561459,205.70846432140831,207.3199905732627,14056203
2023-09-05,210.28172302246094,212.50301154356217,208.01689051005346,211.67547633149374,5648932
2023-09-06,210.2381591796875,214.7678370686101,209.2363949297178,213.46119844920077,10891500
2023-09-07,208.27821350097656,210.7608190487857,206.92801752314202,210.23817154537036,6429626
2023-09-08,207.1022186279297,209.01861925445178,206.1875689472351,208.2346414091794,6836165
2023-09-11,207.5813446044922,208.0168908528055,206.01337545220088,207.32001419714086,7148576
2023-09-12,201.91921997070312,208.7137433151587,200.39480827831056,208.7137433151587,10667079
2023-09-13,203.2258758544922,204.09696832425698,201.2223605156699,201.91923714984497,6192848
2023-09-14,205.7520294189453,207.27644117227,203.8356287302717,204.66316388085627,8069630
2023-09-15,205.83914184570312,209.54128463684233,205.09870797074908,205.7520272868325,20035443
2023-09-18,206.0133514404297,207.84265078685934,205.62136252099907,207.23287547683938,4974748
2023-09-20,201.91921997070312,205.5342480959366,201.440116494731,204.70671297842935,8778511
2023-09-21,197.3024444580078,201.91923720744143,195.69091807175673,201.91923720744143,11856688
2023-09-22,196.0393524169922,199.2623917231122,193.86162135990898,199.04461861740387,7322963
2023-09-25,195.6038055419922,197.3024331023914,194.95048622708362,196.38778340315628,4962618
2023-09-26,195.12472534179688,197.91221875974486,194.8198376417235,195.9958178656442,4392920
2023-09-27,182.0583038330078,192.03230872913264,181.27432602318004,189.46258891712534,35505658
2023-09-28,181.49212646484375,185.67335980312532,181.18723877517812,182.05833126928954,17396618
2023-09-29,193.86160278320312,195.77800327143495,182.9293912658569,182.9293912658569,27711678
2023-10-03,201.0045928955078,203.6178703762728,196.08292562346037,200.35127352531654,46754460
