,Date,Close,High,Low,Open,Volume
31,2025-04-22,1961.699951171875,1970.5999755859375,1935.0,1935.0,22980875
32,2025-04-23,1923.9000244140625,1978.9000244140625,1920.5,1978.9000244140625,15285321
33,2025-04-24,1916.800048828125,1923.9000244140625,1905.0999755859375,1910.0,12965877
34,2025-04-25,1911.199951171875,1933.0,1891.800048828125,1924.800048828125,9250439
35,2025-04-28,1920.199951171875,1929.699951171875,1908.4000244140625,1911.199951171875,6960246
36,2025-04-29,1908.800048828125,1928.800048828125,1900.199951171875,1918.800048828125,9459154
37,2025-04-30,1925.0,1936.9000244140625,1910.300048828125,1913.0,15968435
38,2025-05-02,1921.9000244140625,1941.9000244140625,1920.0,1929.800048828125,8920202
39,2025-05-05,1936.800048828125,1952.0,1932.300048828125,1939.0,7534012
40,2025-05-06,1931.699951171875,1940.0999755859375,1924.300048828125,1930.0,8745078
41,2025-05-07,1945.5999755859375,1948.699951171875,1922.4000244140625,1934.0,10710389
42,2025-05-08,1928.5,1954.800048828125,1919.0999755859375,1954.800048828125,17401715
43,2025-05-09,1889.699951171875,1919.0,1886.800048828125,1910.0999755859375,8594398
44,2025-05-12,1957.199951171875,1959.9000244140625,1912.300048828125,1917.5999755859375,9309486
45,2025-05-13,1922.5999755859375,1961.699951171875,1920.0,1950.0,12121051
46,2025-05-14,1910.5999755859375,1930.199951171875,1903.0,1922.0999755859375,7722654
47,2025-05-15,1933.800048828125,1944.800048828125,1897.0,1913.5,16120729
48,2025-05-16,1934.699951171875,1943.800048828125,1928.4000244140625,1933.800048828125,7934005
49,2025-05-19,1938.699951171875,1945.0,1931.0,1937.0,5101482
50,2025-05-20,1914.9000244140625,1934.5999755859375,1913.0,1928.0999755859375,11939545
51,2025-05-21,1926.800048828125,1946.9000244140625,1921.0999755859375,1927.0,7566020
52,2025-05-22,1919.9000244140625,1924.199951171875,1905.199951171875,1915.199951171875,10653335
53,2025-05-23,1933.5999755859375,1937.0,1914.5,1920.0999755859375,4783036
54,2025-05-26,1940.199951171875,1949.9000244140625,1926.9000244140625,1935.0,5401430
55,2025-05-27,1926.300048828125,1948.0,1916.300048828125,1931.5999755859375,13081074
56,2025-05-28,1923.5,1934.5,1917.699951171875,1920.199951171875,9078797
57,2025-05-29,1927.5,1940.800048828125,1907.300048828125,1928.0,14458897
58,2025-05-30,1944.9000244140625,1948.800048828125,1925.4000244140625,1931.9000244140625,14374039
59,2025-06-02,1932.0999755859375,1936.0,1908.0,1930.0999755859375,7334411
60,2025-06-03,1924.5999755859375,1952.0,1920.0,1938.0,12188792
61,2025-06-04,1941.199951171875,1943.300048828125,1920.9000244140625,1921.0,6480771
62,2025-06-05,1949.5999755859375,1958.9000244140625,1940.199951171875,1948.0,11127709
63,2025-06-06,1978.699951171875,1996.300048828125,1942.699951171875,1944.0,15063504
64,2025-06-09,1978.9000244140625,1995.0,1975.9000244140625,1995.0,6601294
65,2025-06-10,1965.300048828125,1982.800048828125,1961.0999755859375,1982.800048828125,7766563
66,2025-06-11,1950.4000244140625,1967.5999755859375,1947.0,1967.5999755859375,5548197
67,2025-06-12,1943.4000244140625,1961.0,1935.300048828125,1950.0,8174565
68,2025-06-13,1917.5999755859375,1933.0,1913.0,1920.0,6058881
